,accuracy,precision,recall,f1
Decision Tree,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621
Random Forest,0.8275862068965517,0.8142567371776296,0.8275862068965517,0.8071120689655172
KNN,0.8103448275862069,0.8475985221674877,0.8103448275862069,0.7511323546147718
Naive Bayes,0.8275862068965517,0.8234222511385817,0.8275862068965517,0.7963093283290328
SVM,0.8620689655172413,0.8828887443070917,0.8620689655172413,0.8370474626632263
Neural Network,0.7068965517241379,0.7306034482758621,0.7068965517241379,0.7170035671819263
