,mse,rmse,mae,r2
Decision Tree,13.030172413793103,3.6097330114280064,2.853448275862069,-0.2201052162779047
Random Forest,7.900664224137932,2.810812022198911,2.263362068965517,0.2602061334409619
KNN,9.326187739463602,3.053880767067307,2.368390804597701,0.12672450159896576
SVM,9.224341948626112,3.0371601782958555,2.30646132859862,0.13626102780219784
Neural Network,7.997989683467264,2.828071725304587,2.4166850346605497,0.2510928771590526
Linear Regression,8.339639138811666,2.8878433369578183,2.3048050577509254,0.21910187432604666
